train_loss,eval_gr_dist,eval_beam_dist,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0.43939950772296593,89.8715953307393,55.038910505836576,17.42893362045288,False,,,1,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-19-39,1620123579,17.42893362045288,76356,summer,192.168.1.245,17.42893362045288,0,1,30a54_00000
0.39635513172075443,111.47859922178988,54.19844357976654,14.997941732406616,False,,,2,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-19-54,1620123594,32.4268753528595,76356,summer,192.168.1.245,32.4268753528595,0,2,30a54_00000
0.3910060578283169,112.1284046692607,58.01945525291829,15.151487827301025,False,,,3,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-20-09,1620123609,47.57836318016052,76356,summer,192.168.1.245,47.57836318016052,0,3,30a54_00000
0.3808347650075237,110.56420233463035,57.86381322957198,15.124486446380615,False,,,4,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-20-24,1620123624,62.70284962654114,76356,summer,192.168.1.245,62.70284962654114,0,4,30a54_00000
0.37390173455620557,102.67315175097276,57.40856031128405,14.829074382781982,False,,,5,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-20-39,1620123639,77.53192400932312,76356,summer,192.168.1.245,77.53192400932312,0,5,30a54_00000
0.3807356051433875,66.07003891050584,56.35019455252918,14.6992928981781,False,,,6,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-20-53,1620123653,92.23121690750122,76356,summer,192.168.1.245,92.23121690750122,0,6,30a54_00000
0.3664108120513797,51.17898832684825,53.35019455252918,14.941852807998657,False,,,7,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-21-08,1620123668,107.17306971549988,76356,summer,192.168.1.245,107.17306971549988,0,7,30a54_00000
0.366758224101382,57.747081712062254,56.16731517509728,14.77791976928711,False,,,8,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-21-23,1620123683,121.95098948478699,76356,summer,192.168.1.245,121.95098948478699,0,8,30a54_00000
0.3597278335215053,59.7704280155642,52.96887159533074,14.876067876815796,False,,,9,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-21-38,1620123698,136.82705736160278,76356,summer,192.168.1.245,136.82705736160278,0,9,30a54_00000
0.3606400693900854,63.42801556420233,55.18287937743191,14.91089415550232,False,,,10,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-21-53,1620123713,151.7379515171051,76356,summer,192.168.1.245,151.7379515171051,0,10,30a54_00000
0.3512304729060904,59.64980544747082,51.08171206225681,14.869445562362671,False,,,11,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-22-08,1620123728,166.60739707946777,76356,summer,192.168.1.245,166.60739707946777,0,11,30a54_00000
0.346212453879271,55.15175097276265,51.16342412451362,14.507149696350098,False,,,12,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-22-22,1620123742,181.11454677581787,76356,summer,192.168.1.245,181.11454677581787,0,12,30a54_00000
0.34732486858442135,51.06225680933852,48.521400778210115,14.644667863845825,False,,,13,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-22-37,1620123757,195.7592146396637,76356,summer,192.168.1.245,195.7592146396637,0,13,30a54_00000
0.3343612025220107,42.474708171206224,43.51750972762646,14.738261461257935,False,,,14,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-22-52,1620123772,210.49747610092163,76356,summer,192.168.1.245,210.49747610092163,0,14,30a54_00000
0.35120805970425734,47.190661478599225,45.38910505836576,14.844196319580078,False,,,15,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-23-06,1620123786,225.3416724205017,76356,summer,192.168.1.245,225.3416724205017,0,15,30a54_00000
0.35850379810259037,44.038910505836576,42.463035019455255,14.779699087142944,False,,,16,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-23-21,1620123801,240.12137150764465,76356,summer,192.168.1.245,240.12137150764465,0,16,30a54_00000
0.34946252028765845,37.04669260700389,38.82101167315175,14.776502847671509,False,,,17,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-23-36,1620123816,254.89787435531616,76356,summer,192.168.1.245,254.89787435531616,0,17,30a54_00000
0.33764464010988227,39.68482490272373,42.11673151750973,14.545791149139404,False,,,18,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-23-51,1620123831,269.44366550445557,76356,summer,192.168.1.245,269.44366550445557,0,18,30a54_00000
0.3309053205794398,42.992217898832685,42.750972762645915,14.621777772903442,False,,,19,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-24-05,1620123845,284.065443277359,76356,summer,192.168.1.245,284.065443277359,0,19,30a54_00000
0.3470096217055265,43.9260700389105,42.83657587548638,14.74640703201294,False,,,20,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-24-20,1620123860,298.81185030937195,76356,summer,192.168.1.245,298.81185030937195,0,20,30a54_00000
0.3496139429886517,40.11284046692607,39.536964980544745,14.869235515594482,False,,,21,d6ba42e86b1c46a1991efd1a2ea1e1ce,2021-05-04_06-24-35,1620123875,313.68108582496643,76356,summer,192.168.1.245,313.68108582496643,0,21,30a54_00000
